2025/07/04 09:21:57 Loading cert from /workdir/cert.pem
2025/07/04 09:21:57 Loading key from /workdir/key.pem
2025/07/04 09:21:57 Opened archive /workdir/archive.wprgo
2025/07/04 09:21:57 Loading script from deterministic.js
2025/07/04 09:21:57 Use Ctrl-C to exit.
2025/07/04 09:21:57 Starting server on https://127.0.0.1:8081
2025/07/04 09:21:57 Starting server on http://127.0.0.1:8080
2025/07/04 09:23:06 ServeHTTP(http://clients2.google.com/time/1/current?cup2key=9:zyCyUidwY0hd5pc8l19_joXNU1doSkLDXwrprvVnphg&cup2hreq=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855): serving 200, 105 bytes
2025/07/04 09:23:14 ServeHTTP(https://accounts.google.com/ListAccounts?gpsia=1&source=ChromiumBrowser&json=standard): serving 200, 43 bytes
2025/07/04 09:23:17 ScriptInjector(https://tma.ifip.org/): succesfully injected
2025/07/04 09:23:17 ServeHTTP(https://tma.ifip.org/): serving 200, 9828 bytes
2025/07/04 09:23:18 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/font-awesome/library/font-awesome/css/v4-shims.min.css?ver=4.7.0): serving 200, 4113 bytes
2025/07/04 09:23:18 ServeHTTP(https://tma.ifip.org/wp-includes/css/dist/block-library/style.min.css?ver=6.8.1): serving 200, 15323 bytes
2025/07/04 09:23:18 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/font-awesome/library/font-awesome/css/regular.min.css?ver=6.2.4): serving 200, 326 bytes
2025/07/04 09:23:18 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/js/spacious-custom.js?ver=6.8.1): serving 200, 1020 bytes
2025/07/04 09:23:18 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/font-awesome/library/font-awesome/css/all.min.css?ver=6.2.4): serving 200, 29808 bytes
2025/07/04 09:23:18 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/style.css?ver=6.8.1): serving 200, 13486 bytes
2025/07/04 09:23:18 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/genericons/genericons.css?ver=3.3.1): serving 200, 16468 bytes
2025/07/04 09:23:18 ServeHTTP(https://tma.ifip.org/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1): serving 200, 4872 bytes
2025/07/04 09:23:18 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/font-awesome/library/font-awesome/css/solid.min.css?ver=6.2.4): serving 200, 325 bytes
2025/07/04 09:23:18 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/font-awesome/css/font-awesome.min.css?ver=4.7.1): serving 200, 23431 bytes
2025/07/04 09:23:18 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/font-awesome/library/font-awesome/css/brands.min.css?ver=6.2.4): serving 200, 4833 bytes
2025/07/04 09:23:18 ServeHTTP(https://tma.ifip.org/wp-includes/js/jquery/jquery.min.js?ver=3.7.1): serving 200, 30368 bytes
2025/07/04 09:23:18 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/js/navigation.js?ver=6.8.1): serving 200, 2648 bytes
2025/07/04 09:23:18 ServeHTTP(https://tma.ifip.org/wp-content/uploads/2017/10/cropped-tma-conference-logo.png): serving 200, 131223 bytes
2025/07/04 09:23:18 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/js/skip-link-focus-fix.js?ver=6.8.1): serving 200, 425 bytes
2025/07/04 09:23:19 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/assets/fonts/Lato-Regular.woff): serving 200, 37580 bytes
2025/07/04 09:23:19 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/assets/fonts/Lato-Bold.woff): serving 200, 36784 bytes
2025/07/04 09:23:20 ServeHTTP(https://tma.ifip.org/wp-includes/js/wp-emoji-release.min.js?ver=6.8.1): serving 200, 5166 bytes
2025/07/04 09:23:20 ServeHTTP(https://tma.ifip.org/favicon.ico): serving 302, 0 bytes
2025/07/04 09:23:20 ServeHTTP(https://tma.ifip.org/wp-includes/images/w-logo-blue-white-bg.png): serving 200, 4119 bytes
2025/07/04 09:23:47 ServeHTTP(http://clients2.google.com/time/1/current?cup2key=9:kf26s8ujvzthB2Tx4-aAc6BgW2N-po0OL6-shm3-GdU&cup2hreq=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855): serving 200, 104 bytes
2025/07/04 09:23:49 http: TLS handshake error from 127.0.0.1:57332: EOF
2025/07/04 09:23:49 http: TLS handshake error from 127.0.0.1:57346: EOF
2025/07/04 09:23:50 ServeHTTP(https://accounts.google.com/ListAccounts?gpsia=1&source=ChromiumBrowser&json=standard): serving 200, 43 bytes
2025/07/04 09:23:52 ScriptInjector(https://tma.ifip.org/2017/): succesfully injected
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/): serving 200, 14184 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=6.1): serving 200, 1031 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-includes/css/dist/block-library/style.min.css?ver=6.8.1): serving 200, 15323 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/plugins/codeboxrflexiblecountdown/assets/css/codeboxrflexiblecountdown-public.css?ver=1.8.3): serving 200, 911 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/uploads/sites/7/maxmegamenu/style.css?ver=054617): serving 200, 244 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/font-awesome/library/font-awesome/css/v4-shims.min.css?ver=4.7.0): serving 200, 4113 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/font-awesome/library/font-awesome/css/regular.min.css?ver=6.2.4): serving 200, 326 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/font-awesome/library/font-awesome/css/solid.min.css?ver=6.2.4): serving 200, 325 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/font-awesome/library/font-awesome/css/brands.min.css?ver=6.2.4): serving 200, 4833 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-includes/css/dashicons.min.css?ver=6.8.1): serving 200, 35730 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/genericons/genericons.css?ver=3.3.1): serving 200, 16468 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/style.css?ver=6.8.1): serving 200, 13486 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/plugins/user-access-manager/assets/css/uamLoginForm.css?ver=2.2.25): serving 200, 215 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/font-awesome/library/font-awesome/css/all.min.css?ver=6.2.4): serving 200, 29808 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-includes/js/jquery/jquery.min.js?ver=3.7.1): serving 200, 30368 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/font-awesome/css/font-awesome.min.css?ver=4.7.1): serving 200, 23431 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/js/spacious-custom.js?ver=6.8.1): serving 200, 1020 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1): serving 200, 4872 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/wp-content/uploads/sites/7/2016/09/TMA_image.png): serving 200, 826416 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/uploads/sites/7/2016/07/IMG_0448-600x450.jpg): serving 200, 47348 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/plugins/ml-slider/assets/sliders/flexslider/flexslider.css?ver=3.99.0): serving 200, 1166 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/plugins/ml-slider/assets/metaslider/public.css?ver=3.99.0): serving 200, 3222 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-includes/js/dist/i18n.min.js?ver=5e580eb46a90c2b997e6): serving 200, 3667 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/uploads/sites/7/siteorigin-widgets/sow-image-default-8b5b6f678277.css?ver=6.8.1): serving 200, 224 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-includes/js/dist/hooks.min.js?ver=4d63a3d491d11ffd8ac6): serving 200, 1648 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/plugins/siteorigin-panels/css/front-flex.min.css?ver=2.32.1): serving 200, 563 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/plugins/contact-form-7/includes/swv/js/index.js?ver=6.1): serving 200, 3503 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/plugins/contact-form-7/includes/js/index.js?ver=6.1): serving 200, 4265 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/wp-content/uploads/sites/7/2017/07/youtube_icon.jpg): serving 200, 815 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/plugins/ml-slider/assets/metaslider/script.min.js?ver=3.99.0): serving 200, 414 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-includes/js/hoverIntent.min.js?ver=1.10.2): serving 200, 706 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/js/navigation.js?ver=6.8.1): serving 200, 2648 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/js/skip-link-focus-fix.js?ver=6.8.1): serving 200, 425 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/plugins/ml-slider/assets/sliders/flexslider/jquery.flexslider.min.js?ver=3.99.0): serving 200, 6999 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/plugins/megamenu/js/maxmegamenu.js?ver=3.6.1): serving 200, 6025 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/plugins/codeboxrflexiblecountdown/assets/js/codeboxrflexiblecountdown-public.js?ver=1.8.3): serving 200, 84901 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/assets/fonts/Lato-Regular.woff): serving 200, 37580 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/themes/spacious/assets/fonts/Lato-Bold.woff): serving 200, 36784 bytes
2025/07/04 09:23:52 ServeHTTP(https://tma.ifip.org/2017/wp-content/uploads/sites/7/2017/01/ieee_mb_blue.gif): serving 200, 3035 bytes
