2025/06/30 09:39:17 Loading cert from /workdir/cert.pem
2025/06/30 09:39:17 Loading key from /workdir/key.pem
2025/06/30 09:39:17 Opened archive /workdir/archive.wprgo
2025/06/30 09:39:17 Loading script from deterministic.js
2025/06/30 09:39:17 Use Ctrl-C to exit.
2025/06/30 09:39:17 Starting server on http://127.0.0.1:8080
2025/06/30 09:39:17 Starting server on https://127.0.0.1:8081
2025/06/30 09:39:56 ServeHTTP(http://clients2.google.com/time/1/current?cup2key=9:lJ2m_BoBrarjF1HVmwofBvFoCyvMQ2Oms_JllTnayj0&cup2hreq=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855): serving 200, 106 bytes
2025/06/30 09:39:58 ServeHTTP(https://accounts.google.com/ListAccounts?gpsia=1&source=ChromiumBrowser&json=standard): serving 200, 43 bytes
2025/06/30 09:39:58 ScriptInjector(https://tma.ifip.org/): succesfully injected
2025/06/30 09:39:58 ServeHTTP(https://tma.ifip.org/): serving 200, 9828 bytes
2025/06/30 09:39:58 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/font-awesome/library/font-awesome/css/v4-shims.min.css?ver=4.7.0): serving 200, 4113 bytes
2025/06/30 09:39:58 ServeHTTP(https://tma.ifip.org/wp-includes/css/dist/block-library/style.min.css?ver=6.8.1): serving 200, 15323 bytes
2025/06/30 09:39:58 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/font-awesome/library/font-awesome/css/all.min.css?ver=6.2.4): serving 200, 29808 bytes
2025/06/30 09:39:58 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/font-awesome/library/font-awesome/css/solid.min.css?ver=6.2.4): serving 200, 325 bytes
2025/06/30 09:39:58 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/font-awesome/library/font-awesome/css/regular.min.css?ver=6.2.4): serving 200, 326 bytes
2025/06/30 09:39:58 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/style.css?ver=6.8.1): serving 200, 13486 bytes
2025/06/30 09:39:58 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/font-awesome/css/font-awesome.min.css?ver=4.7.1): serving 200, 23431 bytes
2025/06/30 09:39:58 ServeHTTP(https://tma.ifip.org/wp-includes/js/jquery/jquery.min.js?ver=3.7.1): serving 200, 30368 bytes
2025/06/30 09:39:58 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/genericons/genericons.css?ver=3.3.1): serving 200, 16468 bytes
2025/06/30 09:39:58 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/font-awesome/library/font-awesome/css/brands.min.css?ver=6.2.4): serving 200, 4833 bytes
