2025/07/04 15:11:27 Loading cert from /certs/cert.pem
2025/07/04 15:11:27 Loading key from /certs/key.pem
2025/07/04 15:11:27 Opened archive /workdir/archive.wprgo
2025/07/04 15:11:27 Loading script from deterministic.js
2025/07/04 15:11:27 Use Ctrl-C to exit.
2025/07/04 15:11:27 Starting server on http://127.0.0.1:8080
2025/07/04 15:11:27 Starting server on https://127.0.0.1:8081
2025/07/04 15:15:14 ServeHTTP(https://accounts.google.com/ListAccounts?gpsia=1&source=ChromiumBrowser&json=standard): serving 200, 43 bytes
2025/07/04 15:15:15 ScriptInjector(https://tma.ifip.org/): succesfully injected
2025/07/04 15:15:15 ServeHTTP(https://tma.ifip.org/): serving 200, 9828 bytes
2025/07/04 15:15:16 ServeHTTP(https://tma.ifip.org/wp-includes/css/dist/block-library/style.min.css?ver=6.8.1): serving 200, 15323 bytes
2025/07/04 15:15:16 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/font-awesome/library/font-awesome/css/v4-shims.min.css?ver=4.7.0): serving 200, 4113 bytes
2025/07/04 15:15:16 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/font-awesome/library/font-awesome/css/regular.min.css?ver=6.2.4): serving 200, 326 bytes
2025/07/04 15:15:16 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/font-awesome/library/font-awesome/css/brands.min.css?ver=6.2.4): serving 200, 4833 bytes
2025/07/04 15:15:16 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/font-awesome/library/font-awesome/css/solid.min.css?ver=6.2.4): serving 200, 325 bytes
2025/07/04 15:15:16 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/genericons/genericons.css?ver=3.3.1): serving 200, 16468 bytes
2025/07/04 15:15:16 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/font-awesome/library/font-awesome/css/all.min.css?ver=6.2.4): serving 200, 29808 bytes
2025/07/04 15:15:16 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/style.css?ver=6.8.1): serving 200, 13486 bytes
2025/07/04 15:15:16 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/font-awesome/css/font-awesome.min.css?ver=4.7.1): serving 200, 23431 bytes
2025/07/04 15:15:16 ServeHTTP(https://tma.ifip.org/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1): serving 200, 4872 bytes
2025/07/04 15:15:16 ServeHTTP(https://tma.ifip.org/wp-includes/js/jquery/jquery.min.js?ver=3.7.1): serving 200, 30368 bytes
2025/07/04 15:15:16 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/js/spacious-custom.js?ver=6.8.1): serving 200, 1020 bytes
2025/07/04 15:15:16 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/js/navigation.js?ver=6.8.1): serving 200, 2648 bytes
2025/07/04 15:15:16 ServeHTTP(https://tma.ifip.org/wp-content/uploads/2017/10/cropped-tma-conference-logo.png): serving 200, 131223 bytes
2025/07/04 15:15:16 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/js/skip-link-focus-fix.js?ver=6.8.1): serving 200, 425 bytes
2025/07/04 15:15:17 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/assets/fonts/Lato-Bold.woff): serving 200, 36784 bytes
2025/07/04 15:15:17 ServeHTTP(https://tma.ifip.org/wp-content/themes/spacious/assets/fonts/Lato-Regular.woff): serving 200, 37580 bytes
2025/07/04 15:15:17 ServeHTTP(https://tma.ifip.org/wp-includes/js/wp-emoji-release.min.js?ver=6.8.1): serving 200, 5166 bytes
2025/07/04 15:15:17 ServeHTTP(https://tma.ifip.org/favicon.ico): serving 302, 0 bytes
2025/07/04 15:15:17 ServeHTTP(https://tma.ifip.org/wp-includes/images/w-logo-blue-white-bg.png): serving 200, 4119 bytes
2025/07/04 15:15:21 ServeHTTP(https://android.clients.google.com/checkin): serving 200, 471 bytes
2025/07/04 15:15:22 ServeHTTP(https://android.clients.google.com/c2dm/register3): serving 301, 45 bytes
2025/07/04 15:15:23 ServeHTTP(https://android.clients.google.com/c2dm/register3): serving 200, 149 bytes
2025/07/04 15:15:50 ServeHTTP(https://accounts.google.com/ListAccounts?gpsia=1&source=ChromiumBrowser&json=standard): serving 200, 43 bytes
2025/07/04 15:15:50 ScriptInjector(https://tma.ifip.org/2016/): succesfully injected
2025/07/04 15:15:50 ServeHTTP(https://tma.ifip.org/2016/): serving 200, 10976 bytes
2025/07/04 15:15:50 ServeHTTP(https://tma.ifip.org/2016/css/bootstrap.css): serving 200, 18413 bytes
2025/07/04 15:15:50 ServeHTTP(https://tma.ifip.org/2016/images/tma_logo_ppt.png): serving 200, 56239 bytes
2025/07/04 15:15:50 ServeHTTP(https://tma.ifip.org/2016/css/style.css): serving 200, 4465 bytes
2025/07/04 15:15:50 ServeHTTP(https://tma.ifip.org/2016/images/louvain3.png): serving 200, 1555282 bytes
2025/07/04 15:15:50 ServeHTTP(https://tma.ifip.org/2016/js/jquery-1.11.1.min.js): serving 200, 33225 bytes
2025/07/04 15:15:50 ServeHTTP(https://tma.ifip.org/2016/images/ramin.jpg): serving 200, 12531 bytes
2025/07/04 15:15:50 ServeHTTP(https://tma.ifip.org/2016/images/logoIFIP.gif): serving 200, 87007 bytes
2025/07/04 15:15:50 ServeHTTP(https://tma.ifip.org/2016/images/Logo-homepage.jpg): serving 200, 2975 bytes
2025/07/04 15:15:50 ServeHTTP(https://tma.ifip.org/2016/images/fabian.jpg): serving 200, 26925 bytes
2025/07/04 15:15:50 ServeHTTP(https://tma.ifip.org/2016/images/SIDN_Labs_logo.jpg): serving 200, 64226 bytes
2025/07/04 15:15:50 ServeHTTP(https://tma.ifip.org/2016/images/nm2_logo_red.png): serving 200, 34264 bytes
2025/07/04 15:15:50 ServeHTTP(https://tma.ifip.org/2016/images/alessio.jpg): serving 200, 57737 bytes
2025/07/04 15:15:50 ServeHTTP(https://tma.ifip.org/2016/images/dates.jpg): serving 200, 25119 bytes
2025/07/04 15:15:50 ServeHTTP(https://tma.ifip.org/2016/images/move-top.png): serving 200, 3239 bytes
2025/07/04 15:15:50 ServeHTTP(https://tma.ifip.org/2016/images/icons.png): serving 200, 5149 bytes
2025/07/04 15:15:50 ServeHTTP(https://www.google-analytics.com/analytics.js): serving 200, 20994 bytes
2025/07/04 15:15:50 http: TLS handshake error from 127.0.0.1:51388: EOF
2025/07/04 15:15:50 http: TLS handshake error from 127.0.0.1:51404: EOF
2025/07/04 15:15:51 ServeHTTP(https://fonts.gstatic.com/s/raleway/v36/1Ptug8zYS_SKggPNyCMIT5lu.woff2): serving 200, 31480 bytes
2025/07/04 15:15:51 ServeHTTP(https://fonts.gstatic.com/s/opensanscondensed/v23/z7NFdQDnbTkabZAIOl9il_O6KJj73e7Ff1GhDuXMRw.woff2): serving 200, 14964 bytes
2025/07/04 15:15:51 ServeHTTP(https://www.google-analytics.com/j/collect?v=1&_v=j101&a=992137445&t=pageview&_s=1&dl=https%3A%2F%2Ftma.ifip.org%2F2016%2F&ul=en-us&de=UTF-8&dt=TMA%202016%20International%20Workshop%20on%20Traffic%20Monitoring%20and%20Analysis%20%7C%20Home%20%3A%3A%20w3layouts&sd=24-bit&sr=800x600&vp=1351x621&je=0&_u=IEBAAEABAAAAACAAI~&jid=992137445&gjid=992137445&cid=825163896.1751641887&tid=UA-7272448-3&_gid=825163896.1751641887&_r=1&_slc=1&z=1984274890): serving 200, 3 bytes
2025/07/04 15:15:51 ServeHTTP(https://fonts.gstatic.com/s/raleway/v36/1Ptug8zYS_SKggPNyC0ITw.woff2): serving 200, 48264 bytes
2025/07/04 15:15:51 ServeHTTP(https://tma.ifip.org/favicon.ico): serving 302, 0 bytes
2025/07/04 15:15:51 ServeHTTP(https://tma.ifip.org/wp-includes/images/w-logo-blue-white-bg.png): serving 200, 4119 bytes
2025/07/04 15:15:53 ServeHTTP(https://android.clients.google.com/checkin): serving 200, 470 bytes
2025/07/04 15:15:53 ServeHTTP(https://android.clients.google.com/c2dm/register3): serving 200, 50 bytes
2025/07/04 15:15:53 ServeHTTP(https://android.clients.google.com/c2dm/register3): serving 200, 50 bytes
2025/07/04 15:16:13 ServeHTTP(https://accounts.google.com/ListAccounts?gpsia=1&source=ChromiumBrowser&json=standard): serving 200, 43 bytes
2025/07/04 15:16:14 ScriptInjector(https://tma.ifip.org/2021/): succesfully injected
2025/07/04 15:16:14 ServeHTTP(https://tma.ifip.org/2021/): serving 200, 10643 bytes
2025/07/04 15:16:14 ServeHTTP(https://tma.ifip.org/2021/wp-content/themes/spacious/font-awesome/library/font-awesome/css/solid.min.css?ver=6.2.4): serving 200, 325 bytes
2025/07/04 15:16:14 ServeHTTP(https://tma.ifip.org/2021/wp-content/themes/spacious/font-awesome/library/font-awesome/css/v4-shims.min.css?ver=4.7.0): serving 200, 4113 bytes
2025/07/04 15:16:14 ServeHTTP(https://tma.ifip.org/2021/wp-content/themes/spacious/font-awesome/library/font-awesome/css/regular.min.css?ver=6.2.4): serving 200, 326 bytes
2025/07/04 15:16:14 ServeHTTP(https://tma.ifip.org/2021/wp-content/themes/spacious/font-awesome/library/font-awesome/css/brands.min.css?ver=6.2.4): serving 200, 4833 bytes
2025/07/04 15:16:14 ServeHTTP(https://tma.ifip.org/2021/wp-includes/css/dist/block-library/style.min.css?ver=6.8.1): serving 200, 15323 bytes
2025/07/04 15:16:14 ServeHTTP(https://tma.ifip.org/2021/wp-content/themes/spacious/font-awesome/library/font-awesome/css/all.min.css?ver=6.2.4): serving 200, 29808 bytes
2025/07/04 15:16:14 ServeHTTP(https://tma.ifip.org/2021/wp-content/themes/spacious/style.css?ver=6.8.1): serving 200, 13486 bytes
2025/07/04 15:16:14 ServeHTTP(https://tma.ifip.org/2021/wp-includes/js/jquery/jquery.min.js?ver=3.7.1): serving 200, 30368 bytes
2025/07/04 15:16:14 ServeHTTP(https://tma.ifip.org/2021/wp-content/themes/spacious/font-awesome/css/font-awesome.min.css?ver=4.7.1): serving 200, 23431 bytes
2025/07/04 15:16:14 ServeHTTP(https://tma.ifip.org/2021/wp-content/themes/spacious/js/spacious-custom.js?ver=6.8.1): serving 200, 1020 bytes
2025/07/04 15:16:14 ServeHTTP(https://tma.ifip.org/2021/wp-content/themes/spacious/genericons/genericons.css?ver=3.3.1): serving 200, 16468 bytes
2025/07/04 15:16:14 ServeHTTP(https://tma.ifip.org/2021/wp-content/uploads/sites/10/2021/02/cropped-photo-1451187580459-43490279c0fa-2.jpeg): serving 200, 96297 bytes
2025/07/04 15:16:14 ServeHTTP(https://tma.ifip.org/2021/wp-content/uploads/sites/10/2019/09/cropped-cropped-tma-conference-logo_1.png): serving 200, 111390 bytes
2025/07/04 15:16:14 ServeHTTP(https://tma.ifip.org/2021/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1): serving 200, 4872 bytes
2025/07/04 15:16:14 ServeHTTP(https://tma.ifip.org/2021/wp-content/uploads/sites/10/siteorigin-widgets/sow-image-default-8b5b6f678277.css?ver=6.8.1): serving 200, 224 bytes
2025/07/04 15:16:14 ServeHTTP(https://tma.ifip.org/2021/wp-content/plugins/siteorigin-panels/css/front-flex.min.css?ver=2.32.1): serving 200, 563 bytes
2025/07/04 15:16:14 ServeHTTP(https://tma.ifip.org/2021/wp-content/themes/spacious/js/navigation.js?ver=6.8.1): serving 200, 2648 bytes
2025/07/04 15:16:14 ServeHTTP(https://tma.ifip.org/2021/wp-content/themes/spacious/js/skip-link-focus-fix.js?ver=6.8.1): serving 200, 425 bytes
